Name,Pos,Age
Alex Abrines,SG,24
Quincy Acy,PF,27
Steven Adams,C,24
Bam Adebayo,C,20
Arron Afflalo,SG,32
Cole Aldrich,C,29
LaMarcus Aldridge,C,32
Jarrett Allen,C,19
Kadeem Allen,PG,25
Tony Allen,SF,36
Al-Farouq Aminu,PF,27
Justin Anderson,SF,24
Kyle Anderson,SF,24
Ryan Anderson,PF,29
Ike Anigbogu,C,19
Giannis Antetokounmpo,PF,23
Carmelo Anthony,PF,33
OG Anunoby,SF,20
Ryan Arcidiacono,PG,23
Trevor Ariza,SF,32
Darrell Arthur,PF,29
Jamel Artis,SG,25
Omer Asik,C,31
D.J. Augustin,PG,30
Luke Babbitt,SF,28
Dwayne Bacon,SG,22
Ron Baker,SG,24
Wade Baldwin,PG,21
Lonzo Ball,PG,20
J.J. Barea,PG,33
Harrison Barnes,PF,25
Will Barton,SG,27
Nicolas Batum,SG,29
Jerryd Bayless,SG,29
Aron Baynes,C,31
Kent Bazemore,SG,28
Bradley Beal,SG,24
Malik Beasley,SG,21
Michael Beasley,PF,29
Marco Belinelli,SG,31
Jordan Bell,C,23
DeAndre' Bembry,SF,23
Dragan Bender,PF,20
Davis Bertans,PF,25
Patrick Beverley,SG,29
Khem Birch,C,25
Jabari Bird,SG,23
Bismack Biyombo,C,25
Nemanja Bjelica,PF,29
Tarik Black,C,26
Antonio Blakeney,SG,21
Eric Bledsoe,PG,28
Vander Blue,SG,25
Bogdan Bogdanovic,SG,25
Bojan Bogdanovic,SF,28
Andrew Bogut,C,33
Joel Bolomboy,PF,24
Devin Booker,SG,21
Trevor Booker,PF,30
Chris Boucher,PF,25
Avery Bradley,SG,27
Tony Bradley,C,20
Corey Brewer,SF-SG,31
Malcolm Brogdon,PG,25
Aaron Brooks,PG,33
Dillon Brooks,SF,22
MarShon Brooks,SG,29
Anthony Brown,SF,25
Bobby Brown,PG,33
Jaylen Brown,SG,21
Lorenzo Brown,PG,27
Markel Brown,SG,26
Sterling Brown,SG,22
Nicolas Brussino,SF,24
Thomas Bryant,C,20
Reggie Bullock,SF,26
Trey Burke,PG,25
Alec Burks,SG,26
Jimmy Butler,SG,28
Dwight Buycks,PG,28
Bruno Caboclo,SF,22
Jose Calderon,PG,36
Kentavious Caldwell-Pope,SG,24
Isaiah Canaan,PG-SG,26
Clint Capela,C,23
DeMarre Carroll,SF,31
Vince Carter,SF,41
Michael Carter-Williams,PG,26
Alex Caruso,PG,23
Omri Casspi,SF,29
Willie Cauley-Stein,C,24
Tyler Cavanaugh,PF,23
Mario Chalmers,PG,31
Tyson Chandler,C,35
Wilson Chandler,SF,30
Marquese Chriss,PF,20
Ian Clark,SG,26
Jordan Clarkson,SG,25
Gian Clavell,SG,24
Antonius Cleveland,SG,23
John Collins,PF,20
Zach Collins,C,20
Kyle Collinsworth,SF,26
Darren Collison,PG,30
Nick Collison,PF,37
Mike Conley,PG,30
Pat Connaughton,SG,25
Quinn Cook,PG,24
Charles Cooke,SG,23
Jack Cooley,PF,26
Matt Costello,C,24
DeMarcus Cousins,C,27
Robert Covington,SF,27
Allen Crabbe,SG,25
Torrey Craig,SF,27
Jamal Crawford,SG,37
Jordan Crawford,SG,29
Jae Crowder,SF,27
Dante Cunningham,SF,30
Stephen Curry,PG,29
Troy Daniels,SG,26
Anthony Davis,PF,24
Deyonta Davis,C,21
Ed Davis,C,28
Dewayne Dedmon,C,28
Sam Dekker,PF,23
Malcolm Delaney,PG,28
Matthew Dellavedova,PG,27
Luol Deng,SF,32
DeMar DeRozan,SG,28
Cheick Diallo,PF,21
Gorgui Dieng,C,28
Spencer Dinwiddie,PG,24
Tyler Dorsey,SG,21
Damyean Dotson,SG,23
Milton Doyle,SG,24
PJ Dozier,PG,21
Goran Dragic,PG,31
Larry Drew,PG,27
Andre Drummond,C,24
Jared Dudley,PF,32
Kris Dunn,PG,23
Kevin Durant,PF,29
Jarell Eddie,SF,26
Henry Ellenson,PF,21
Wayne Ellington,SG,30
Joel Embiid,C,23
James Ennis,SF,27
Tyler Ennis,PG,23
Jawun Evans,PG,21
Jeremy Evans,SF,30
Tyreke Evans,PG,28
Dante Exum,PG,22
Kenneth Faried,PF,28
Derrick Favors,C,26
Kay Felder,PG,22
Cristiano Felicio,C,25
Raymond Felton,PG,33
Terrance Ferguson,SG,19
Yogi Ferrell,SG,24
Dorian Finney-Smith,PF,24
Bryn Forbes,SG,24
Evan Fournier,SF,25
De'Aaron Fox,PG,20
Tim Frazier,PG,27
Channing Frye,C,34
Markelle Fultz,SG,19
Danilo Gallinari,SF,29
Langston Galloway,SG,26
Marc Gasol,C,33
Pau Gasol,C,37
Rudy Gay,PF,31
Paul George,SF,27
Marcus Georges-Hunt,SG,23
Jonathan Gibson,PG,30
Taj Gibson,PF,32
Manu Ginobili,SG,40
Rudy Gobert,C,25
Aaron Gordon,PF,22
Eric Gordon,SG,29
Marcin Gortat,C,33
Treveon Graham,SG,24
Jerami Grant,PF,23
Jerian Grant,PG,25
Josh Gray,PG,24
Danny Green,SG,30
Draymond Green,PF,27
Gerald Green,SG,32
JaMychal Green,PF,27
Jeff Green,PF,31
Blake Griffin,PF,28
Daniel Hamilton,SG,22
Tim Hardaway,SG,25
James Harden,SG,28
Maurice Harkless,SF,24
Montrezl Harrell,C,24
Devin Harris,PG,34
Gary Harris,SG,23
Joe Harris,SG,26
Tobias Harris,PF,25
Aaron Harrison,SG,23
Andrew Harrison,PG,23
Shaquille Harrison,PG,24
Josh Hart,SG,22
Udonis Haslem,C,37
Nigel Hayes,SF,23
Gordon Hayward,SF,27
Reggie Hearn,SG,26
Myke Henry,SF,25
John Henson,C,27
Juan Hernangomez,PF,22
Willy Hernangomez,C,23
Mario Hezonja,SF,22
Isaiah Hicks,PF,23
Buddy Hield,SG,25
Nene Hilario,C,35
George Hill,PG,31
Solomon Hill,SF,26
Darrun Hilliard,SG,24
Jrue Holiday,SG,27
Justin Holiday,SG,28
John Holland,SF,29
Rondae Hollis-Jefferson,SF,23
Richaun Holmes,C,24
Rodney Hood,SG,25
Scotty Hopson,SG,28
Al Horford,C,31
Danuel House,SG,24
Dwight Howard,C,32
Josh Huestis,PF,26
R.J. Hunter,SG,24
Vince Hunter,PF,23
Serge Ibaka,PF,28
Andre Iguodala,SF,34
Ersan Ilyasova,PF,30
Joe Ingles,SF,30
Andre Ingram,SG,32
Brandon Ingram,SF,20
Kyrie Irving,PG,25
Jonathan Isaac,PF,20
Wesley Iwundu,SF,23
Jarrett Jack,PG,34
Aaron Jackson,PG,31
Demetrius Jackson,PG,23
Josh Jackson,SF,20
Justin Jackson,SF,22
Reggie Jackson,PG,27
LeBron James,PF,33
Mike James,PG,27
Al Jefferson,C,33
Richard Jefferson,SF,37
Brandon Jennings,PG,28
Jonas Jerebko,PF,30
Amir Johnson,C,30
Brice Johnson,PF,23
Dakari Johnson,C,22
James Johnson,PF,30
Joe Johnson,SF,36
Omari Johnson,PF,28
Stanley Johnson,SF,21
Tyler Johnson,PG,25
Wesley Johnson,SF,30
Nikola Jokic,C,22
Damian Jones,C,22
Derrick Jones,SF,20
Jalen Jones,SF,24
Tyus Jones,PG,21
DeAndre Jordan,C,29
Cory Joseph,PG,26
Frank Kaminsky,PF,24
Enes Kanter,C,25
Luke Kennard,SG,21
Michael Kidd-Gilchrist,SF,24
Sean Kilpatrick,SG,28
Maxi Kleber,PF,26
Furkan Korkmaz,SG,20
Luke Kornet,PF,22
Kyle Korver,SG,36
Kosta Koufos,C,28
Kyle Kuzma,PF,22
Mindaugas Kuzminskas,SF,28
Skal Labissiere,PF,21
Jeremy Lamb,SG,25
Shane Larkin,PG,25
Joffrey Lauvergne,C,26
Zach LaVine,SG,22
Jake Layman,SF,23
T.J. Leaf,PF,20
Courtney Lee,SG,32
Damion Lee,SG,25
Walt Lemon,PG,25
Alex Len,C,24
Kawhi Leonard,SF,26
Meyers Leonard,C,25
Jon Leuer,PF,28
Caris LeVert,SF,23
DeAndre Liggins,SG,29
Damian Lillard,PG,27
Jeremy Lin,PG,29
Shaun Livingston,PG,32
Kevon Looney,C,21
Brook Lopez,C,29
Robin Lopez,C,29
Kevin Love,C,29
Kyle Lowry,PG,31
Timothe Luwawu-Cabarrot,SF,22
Tyler Lydon,PF,21
Trey Lyles,PF,22
Shelvin Mack,PG,27
Josh Magette,PG,28
Ian Mahinmi,C,31
Thon Maker,C,20
Boban Marjanovic,C,29
Lauri Markkanen,PF,20
Jarell Martin,PF,23
Frank Mason,PG,23
Mangok Mathiang,C,25
Wesley Matthews,SF,31
Luc Mbah a Moute,PF,31
James Michael McAdoo,PF,25
Patrick McCaw,SG,22
CJ McCollum,SG,26
T.J. McConnell,PG,25
Erik McCree,SF,24
Chris McCullough,PF,22
Doug McDermott,SF,26
JaVale McGee,C,30
Rodney McGruder,SG,26
Trey McKinney-Jones,SG,27
Alfonzo McKinnie,SF,25
Ben McLemore,SG,24
Josh McRoberts,PF,30
Jodie Meeks,SG,30
Salah Mejri,C,31
Jordan Mickey,PF,23
Khris Middleton,SF,26
C.J. Miles,SF,30
Darius Miller,SF,27
Malcolm Miller,SF,24
Patty Mills,PG,29
Paul Millsap,PF,32
Nikola Mirotic,PF,26
Donovan Mitchell,SG,21
Naz Mitrou-Long,SG,24
Malik Monk,SG,19
Greg Monroe,C,27
Luis Montero,SG,24
Ben Moore,PF,22
E'Twaun Moore,SG,28
Eric Moreland,PF,26
Jaylen Morris,SG,22
Marcus Morris,PF,28
Markieff Morris,PF,28
Monte Morris,PG,22
Johnathan Motley,PF,22
Timofey Mozgov,C,31
Emmanuel Mudiay,PG,21
Shabazz Muhammad,SF-SG,25
Xavier Munford,SG,25
Dejounte Murray,PG,21
Jamal Murray,PG,20
Mike Muscala,C,26
Abdel Nader,SF,24
Larry Nance,C,25
Shabazz Napier,PG,26
Jameer Nelson,PG,35
Raul Neto,PG,25
Georges Niang,PF,24
Joakim Noah,C,32
Nerlens Noel,C,23
Lucas Nogueira,C,25
Dirk Nowitzki,C,39
Frank Ntilikina,PG,19
Jusuf Nurkic,C,23
David Nwaba,SG,25
Johnny O'Bryant,PF,24
Royce O'Neale,SF,24
Kyle O'Quinn,C,27
Semi Ojeleye,PF,23
Emeka Okafor,C,35
Jahlil Okafor,C,22
Victor Oladipo,SG,25
Kelly Olynyk,PF,26
Chinanu Onuaku,C,21
Cedi Osman,SF,22
Kelly Oubre,SF,22
Zaza Pachulia,C,33
Marcus Paige,PG,24
Georgios Papagiannis,C,20
Jabari Parker,PF,22
Tony Parker,PG,35
Chandler Parsons,SF,29
Patrick Patterson,PF,28
Justin Patton,C,20
Brandon Paul,SG,26
Chris Paul,PG,32
Adreian Payne,PF,26
Cameron Payne,PG,23
Elfrid Payton,PG,23
Gary Payton,PG,25
Kendrick Perkins,C,33
London Perrantes,PG,23
Alec Peters,PF,22
Marshall Plumlee,C,25
Mason Plumlee,C,27
Miles Plumlee,C,29
Jakob Poeltl,C,22
Quincy Pondexter,SF,29
Otto Porter,SF,24
Bobby Portis,PF,22
Kristaps Porzingis,PF,22
Dwight Powell,C,26
Norman Powell,SG,24
Alex Poythress,PF,24
Jacob Pullen,PG,28
Rodney Purvis,SG,23
Zhou Qi,C,22
Tim Quarterman,SG,23
Ivan Rabb,PF,20
Julius Randle,C,23
Zach Randolph,PF,36
Xavier Rathan-Mayes,SG,23
J.J. Redick,SG,33
Davon Reed,SG,22
Willie Reed,C,27
Josh Richardson,SF,24
Malachi Richardson,SG,22
Austin Rivers,SG,25
Andre Roberson,SG,26
Devin Robinson,SF,22
Glenn Robinson,SF,24
Rajon Rondo,PG,31
Derrick Rose,PG,29
Terrence Ross,SG,26
Terry Rozier,PG,23
Ricky Rubio,PG,27
D'Angelo Russell,PG,21
Domantas Sabonis,C,21
JaKarr Sampson,SF,24
Dario Saric,PF,23
Tomas Satoransky,SG,26
Dennis Schroder,PG,24
Mike Scott,PF,29
Thabo Sefolosha,SF,33
Wayne Selden,SG,23
Ramon Sessions,PG,31
Iman Shumpert,SG,27
Pascal Siakam,PF,23
Xavier Silas,SG,30
Ben Simmons,PG,21
Jonathon Simmons,SG,28
Kobi Simmons,PG,20
Kyle Singler,SF,29
Marcus Smart,SG,23
Dennis Smith,PG,20
Ish Smith,PG,29
J.R. Smith,SG,32
Jason Smith,C,31
Josh Smith,PF,32
Tony Snell,SG,26
Marreese Speights,C,30
Nik Stauskas,SG,24
Lance Stephenson,SG,27
David Stockton,PG,26
Julyan Stone,SG,29
Edmond Sumner,PG,22
Caleb Swanigan,PF,20
Jayson Tatum,SF,19
Isaiah Taylor,PG,23
Jeff Teague,PG,29
Marquis Teague,PG,24
Mirza Teletovic,PF,32
Garrett Temple,SG,31
Milos Teodosic,PG,30
Jason Terry,SG,40
Daniel Theis,C,25
Isaiah Thomas,PG,28
Lance Thomas,PF,29
Klay Thompson,SG,27
Tristan Thompson,C,26
Sindarius Thornwell,SG,23
Anthony Tolliver,PF,32
Karl-Anthony Towns,C,22
P.J. Tucker,PF,32
Evan Turner,SF,29
Myles Turner,C,21
Ekpe Udoh,C,30
Tyler Ulis,PG,22
Jonas Valanciunas,C,25
Denzel Valentine,SG,24
Fred VanVleet,PG,23
Rashad Vaughn,SG,21
Noah Vonleh,PF,22
Nikola Vucevic,C,27
Dwyane Wade,SG,36
Dion Waiters,SG,26
Kemba Walker,PG,27
John Wall,PG,27
Tyrone Wallace,PG,23
Taurean Waller-Prince,SF,23
Derrick Walton,PG,22
Jameel Warney,PF,24
T.J. Warren,SF,24
Travis Wear,SF,27
James Webb,SF,24
Briante Weber,PG,25
David West,C,37
Russell Westbrook,PG,29
Andrew White,SF,24
Derrick White,PG,23
Okaro White,PF,25
Isaiah Whitehead,PG,22
Hassan Whiteside,C,28
Andrew Wiggins,SF,22
Jacob Wiley,PF,23
Damien Wilkins,SF,38
Alan Williams,PF,25
C.J. Williams,SG,27
Derrick Williams,PF,26
Lou Williams,SG,31
Marvin Williams,PF,31
Matt Williams,SG,24
Troy Williams,SF,23
D.J. Wilson,PF,21
Jamil Wilson,SF,27
Justise Winslow,PF,21
Jeff Withey,C,27
Nate Wolters,PG,26
Brandan Wright,PF,30
Delon Wright,PG,25
Guerschon Yabusele,PF,22
James Young,SG,22
Joe Young,PG,25
Nick Young,SG,32
Thaddeus Young,PF,29
Cody Zeller,C,25
Tyler Zeller,C,28
Paul Zipser,SF,23
Ante Zizic,C,21
Ivica Zubac,C,20
