Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Golden State Warriors,21,5065,866,1806,0.48,235,659,0.357,631,1147,0.55,352,428,0.822,192,753,945,547,165,122,270,414,2319
Cleveland Cavaliers,22,5330,811,1801,0.45,221,667,0.331,590,1134,0.52,382,508,0.752,215,695,910,423,131,97,279,430,2225
Boston Celtics,19,4610,692,1582,0.437,199,581,0.343,493,1001,0.493,343,447,0.767,168,624,792,403,130,77,221,388,1926
Houston Rockets,17,4080,632,1450,0.436,228,676,0.337,404,774,0.522,292,378,0.772,149,582,731,320,138,93,205,325,1784
Utah Jazz,11,2640,415,912,0.455,118,329,0.359,297,583,0.509,178,259,0.687,103,392,495,223,83,55,171,226,1126
Philadelphia 76ers,10,2425,387,885,0.437,99,293,0.338,288,592,0.486,215,283,0.76,134,361,495,258,78,41,146,228,1088
Toronto Raptors,10,2425,389,823,0.473,104,267,0.39,285,556,0.513,191,239,0.799,94,307,401,218,57,61,140,226,1073
New Orleans Pelicans,9,2160,386,808,0.478,89,243,0.366,297,565,0.526,129,165,0.782,71,339,410,242,73,45,130,174,990
Milwaukee Bucks,7,1705,274,548,0.5,67,180,0.372,207,368,0.563,98,139,0.705,39,231,270,154,46,47,92,160,713
Indiana Pacers,7,1680,270,561,0.481,68,190,0.358,202,371,0.544,96,135,0.711,57,223,280,148,57,19,92,153,704
Washington Wizards,6,1440,238,511,0.466,48,131,0.366,190,380,0.5,119,140,0.85,51,189,240,140,47,31,81,126,643
Oklahoma City Thunder,6,1440,223,519,0.43,63,173,0.364,160,346,0.462,98,127,0.772,56,208,264,98,53,25,84,130,607
Miami Heat,5,1200,183,414,0.442,54,138,0.391,129,276,0.467,97,143,0.678,48,157,205,119,44,32,80,146,517
Minnesota Timberwolves,5,1200,190,413,0.46,45,109,0.413,145,304,0.477,83,114,0.728,43,183,226,112,25,16,63,91,508
San Antonio Spurs,5,1200,173,419,0.413,42,141,0.298,131,278,0.471,96,115,0.835,42,146,188,95,38,15,55,102,484
Portland Trail Blazers,4,960,165,364,0.453,43,129,0.333,122,235,0.519,49,63,0.778,45,129,174,76,33,15,58,82,422